地点,户型,category,面积(㎡),价格(万元)
丰台区,中型,一居,64.8,504.8
东城区,大型,一居,89.5,724.5
通州区,中型,两居,88.5,703.7
东城区,大型,三居,182.1,854.4
通州区,小型,三居,94.6,456.3
海淀区,中型,一居,71.2,379.8
东城区,大型,别墅,398.6,2698.8
东城区,大型,一居,82.9,460.2
东城区,大型,别墅,345.5,2787.3
西城区,大型,两居,126.3,1122.7
东城区,大型,一居,81.8,463.4
东城区,大型,两居,120.2,840.1
通州区,小型,别墅,178.5,887.7
通州区,大型,一居,82.3,658.9
海淀区,小型,一居,48.5,327.8
丰台区,大型,别墅,358.0,2956.7
通州区,大型,一居,86.3,606.3
西城区,小型,两居,73.3,628.0
朝阳区,中型,一居,74.1,421.1
东城区,小型,三居,96.8,453.8
通州区,大型,两居,125.8,987.0
东城区,中型,一居,69.2,421.3
丰台区,中型,三居,128.6,1122.2
海淀区,大型,一居,94.6,632.0
丰台区,大型,三居,189.2,987.4
丰台区,小型,别墅,170.7,1480.2
通州区,中型,两居,88.0,440.4
海淀区,小型,三居,97.4,700.1
丰台区,小型,两居,80.6,483.9
通州区,中型,两居,87.2,646.1
通州区,大型,两居,140.0,1063.2
通州区,大型,三居,156.4,881.7
朝阳区,大型,别墅,358.5,1448.0
通州区,大型,别墅,368.7,2026.4
丰台区,小型,别墅,194.0,1614.1
西城区,小型,三居,94.4,802.7
西城区,大型,三居,171.2,1073.2
朝阳区,小型,两居,81.9,456.5
丰台区,中型,一居,65.6,402.0
朝阳区,小型,一居,50.1,375.3
海淀区,中型,一居,58.1,502.5
朝阳区,中型,一居,71.1,543.8
海淀区,中型,一居,72.4,600.4
通州区,中型,一居,65.9,369.4
丰台区,大型,一居,85.7,460.3
丰台区,大型,两居,111.2,685.0
通州区,小型,三居,105.1,509.0
东城区,大型,一居,77.9,388.4
西城区,中型,两居,105.6,918.9
朝阳区,小型,一居,48.4,357.4
通州区,小型,一居,43.6,229.6
东城区,大型,两居,112.0,500.9
朝阳区,小型,两居,62.3,263.9
东城区,小型,一居,40.7,220.4
丰台区,中型,两居,109.8,606.9
朝阳区,大型,别墅,380.0,2856.7
西城区,大型,别墅,312.1,1529.9
朝阳区,大型,两居,136.3,1190.5
朝阳区,大型,两居,112.6,724.0
丰台区,小型,三居,104.1,755.5
通州区,大型,三居,189.0,879.6
西城区,小型,一居,31.1,248.2
朝阳区,中型,三居,148.1,1015.3
西城区,小型,一居,36.3,191.5
海淀区,小型,一居,52.6,353.9
东城区,大型,三居,184.0,998.3
西城区,大型,两居,130.1,1003.8
通州区,中型,别墅,275.1,2138.9
通州区,小型,一居,41.4,226.3
西城区,大型,一居,87.7,623.1
朝阳区,中型,两居,91.7,660.7
海淀区,小型,别墅,182.5,1442.9
朝阳区,中型,三居,132.7,715.6
西城区,小型,两居,78.1,695.1
丰台区,小型,三居,99.9,746.1
西城区,中型,一居,68.7,530.6
海淀区,中型,两居,96.8,823.4
西城区,中型,一居,61.9,429.5
西城区,大型,别墅,328.1,1545.1
东城区,大型,三居,180.5,968.2
海淀区,小型,三居,95.3,837.7
海淀区,大型,别墅,292.2,2297.4
朝阳区,小型,三居,102.7,519.6
东城区,小型,别墅,152.7,994.1
东城区,小型,一居,39.9,279.2
海淀区,小型,一居,40.7,164.8
丰台区,中型,三居,133.6,744.5
朝阳区,中型,别墅,279.9,2513.6
海淀区,大型,两居,113.2,693.4
西城区,小型,三居,93.8,640.0
海淀区,小型,别墅,151.0,1011.3
丰台区,中型,三居,149.6,1090.3
海淀区,小型,两居,69.1,300.6
朝阳区,小型,别墅,179.8,1326.2
丰台区,小型,三居,110.2,589.3
丰台区,中型,别墅,259.6,1953.8
丰台区,大型,别墅,288.2,2062.3
西城区,小型,一居,34.2,150.3
通州区,大型,两居,123.5,914.0
通州区,大型,两居,126.5,893.1
西城区,大型,两居,124.7,753.3
海淀区,中型,三居,136.2,639.0
海淀区,中型,三居,141.2,610.1
丰台区,中型,别墅,262.0,1105.2
通州区,小型,别墅,167.6,712.8
通州区,小型,一居,48.8,241.8
丰台区,小型,两居,64.6,275.0
东城区,中型,一居,67.4,550.0
通州区,小型,别墅,171.5,1442.7
东城区,大型,两居,118.5,716.2
海淀区,大型,两居,134.6,1043.9
朝阳区,中型,两居,106.9,568.4
通州区,小型,两居,77.0,673.3
通州区,小型,两居,70.0,507.3
东城区,大型,两居,114.2,656.5
丰台区,大型,别墅,363.3,3094.3
通州区,中型,一居,63.5,473.0
东城区,小型,三居,114.4,840.9
东城区,小型,两居,67.8,424.4
丰台区,中型,三居,136.3,826.8
朝阳区,大型,别墅,312.7,2196.5
海淀区,中型,三居,132.5,667.0
东城区,大型,别墅,359.7,1592.8
朝阳区,小型,一居,46.0,189.8
海淀区,中型,别墅,245.1,1247.5
东城区,小型,别墅,167.5,692.3
西城区,中型,一居,64.9,553.0
丰台区,大型,两居,129.8,1125.2
丰台区,大型,三居,186.9,1222.6
海淀区,大型,一居,75.5,374.9
海淀区,中型,两居,101.4,641.3
朝阳区,大型,两居,136.4,1112.8
丰台区,大型,两居,130.7,980.1
东城区,小型,一居,48.9,223.4
通州区,小型,三居,106.9,868.7
通州区,小型,两居,81.3,509.0
朝阳区,大型,三居,188.3,1690.4
丰台区,中型,两居,90.2,456.0
通州区,大型,一居,90.6,378.2
通州区,小型,两居,66.5,352.5
海淀区,中型,别墅,201.6,960.0
西城区,小型,一居,36.0,308.3
朝阳区,中型,别墅,205.8,1294.8
通州区,中型,三居,134.9,962.6
丰台区,小型,三居,91.2,709.7
通州区,中型,两居,106.1,593.9
东城区,大型,三居,154.1,1268.2
通州区,中型,两居,107.5,669.2
东城区,中型,别墅,224.1,949.9
通州区,中型,两居,94.2,755.3
丰台区,中型,三居,142.7,1017.0
丰台区,大型,一居,78.7,399.9
朝阳区,大型,两居,110.0,618.3
海淀区,中型,别墅,210.1,1543.7
海淀区,小型,三居,116.9,902.3
海淀区,小型,两居,76.6,432.9
朝阳区,大型,三居,160.6,1272.0
通州区,中型,别墅,278.0,1659.5
东城区,小型,别墅,191.5,1432.5
海淀区,大型,三居,171.8,1205.4
丰台区,中型,一居,60.0,276.2
海淀区,小型,别墅,188.1,1109.0
东城区,小型,一居,35.3,165.4
丰台区,小型,别墅,175.4,1421.2
丰台区,中型,两居,101.5,485.7
朝阳区,中型,三居,141.9,1045.4
西城区,中型,三居,127.1,714.2
东城区,大型,两居,139.0,1041.4
海淀区,大型,一居,94.3,502.4
丰台区,大型,三居,183.3,1190.0
丰台区,小型,三居,115.1,791.4
西城区,小型,别墅,190.6,1292.6
朝阳区,大型,别墅,338.6,2887.1
东城区,小型,两居,67.6,363.2
