id,time,weather,temperature
1,2026/8/1 0:00,??,28
2,2026/8/1 2:00,????,27
3,2026/8/1 4:00,,26
4,2026/8/1 6:00,????,29
5,2026/8/1 8:00,????,24
6,2026/8/1 10:00,??,23
7,,??????,22
8,2026/8/1 14:00,????,24
9,2026/8/1 16:00,??,26
10,2026/8/1 18:00,????,27
11,2026/8/1 20:00,,29
12,2026/8/1 22:00,??,31
13,2026/8/2 0:00,????,
14,2026/8/2 2:00,??,31
15,2026/8/2 4:00,????,29
16,2026/8/2 6:00,????,28
17,2026/8/2 8:00,??,27
18,2026/8/2 10:00,??,26
19,,??,25
20,2026/8/2 14:00,??,24
21,2026/8/2 16:00,????,23
22,2026/8/2 18:00,????,
23,2026/8/2 20:00,??,24
24,2026/8/2 22:00,??,26
25,,????,27
26,2026/8/3 2:00,???,29
27,2026/8/3 4:00,??,31
28,2026/8/3 6:00,????,32
29,2026/8/3 8:00,,31
30,2026/8/3 10:00,??,30
