日期,产品编号,产品名称,销售区域,销售数量,单价,销售金额
2026-01-01,P006,人体工学椅,华北,16,2249.5,35992.0
2026-01-02,P002,机械键盘,华东,45,2234.77,100564.65
2026-01-03,P006,人体工学椅,华中,32,1811.43,57965.76
2026-01-04,P001,无线蓝牙耳机,华北,33,733.05,24190.65
2026-01-05,P005,4K 显示器,华中,16,1726.61,27625.76
2026-01-06,P006,人体工学椅,华中,117,738.28,86378.76
2026-01-07,P005,4K 显示器,华南,11,2299.54,25294.94
2026-01-08,P002,机械键盘,西南,97,904.83,87768.51
2026-01-09,P002,机械键盘,华南,36,367.96,13246.56
2026-01-10,P001,无线蓝牙耳机,华南,98,1849.81,181281.38
2026-01-11,P001,无线蓝牙耳机,西南,147,461.0,67767.0
2026-01-12,P004,智能手表,华北,151,949.22,143332.22
2026-01-13,P006,人体工学椅,华中,102,1773.32,180878.64
2026-01-14,P006,人体工学椅,华北,21,2016.66,42349.86
2026-01-15,P003,便携充电宝,华北,69,2611.8,180214.2
2026-01-16,P004,智能手表,华南,126,1942.48,244752.48
2026-01-17,P003,便携充电宝,华东,104,1129.29,117446.16
2026-01-18,P006,人体工学椅,华南,189,2815.3,532091.7
2026-01-19,P006,人体工学椅,华北,165,1940.44,320172.6
2026-01-20,P005,4K 显示器,华东,51,1439.55,73417.05
2026-01-21,P003,便携充电宝,华中,66,2084.38,137569.08
2026-01-22,P001,无线蓝牙耳机,华东,18,2433.63,43805.34
2026-01-23,P004,智能手表,华南,26,710.85,18482.1
2026-01-24,P005,4K 显示器,华南,64,1999.77,127985.28
2026-01-25,P004,智能手表,西南,46,867.15,39888.9
2026-01-26,P002,机械键盘,华中,147,860.95,126559.65
2026-01-27,P005,4K 显示器,西南,159,1257.26,199904.34
2026-01-28,P002,机械键盘,华东,140,1530.2,214228.0
2026-01-29,P001,无线蓝牙耳机,华北,49,1918.59,94010.91
2026-01-30,P006,人体工学椅,西南,162,283.23,45883.26
2026-01-31,P004,智能手表,华中,129,1633.43,210712.47
2026-02-01,P005,4K 显示器,华北,184,2189.09,402792.56
2026-02-02,P006,人体工学椅,华中,78,2327.94,181579.32
2026-02-03,P003,便携充电宝,华北,85,1359.82,115584.7
2026-02-04,P004,智能手表,华北,194,2638.97,511960.18
2026-02-05,P003,便携充电宝,华中,55,1571.28,86420.4
2026-02-06,P001,无线蓝牙耳机,华南,173,1571.22,271821.06
2026-02-07,P002,机械键盘,华东,105,2310.28,242579.4
2026-02-08,P005,4K 显示器,华中,10,1835.94,18359.4
2026-02-09,P004,智能手表,华北,38,2793.39,106148.82
2026-02-10,P003,便携充电宝,华东,24,797.53,19140.72
2026-02-11,P005,4K 显示器,华北,31,2221.53,68867.43
2026-02-12,P001,无线蓝牙耳机,华中,42,471.34,19796.28
2026-02-13,P004,智能手表,华中,52,867.66,45118.32
2026-02-14,P005,4K 显示器,西南,64,2792.85,178742.4
2026-02-15,P006,人体工学椅,华东,192,1002.98,192572.16
2026-02-16,P006,人体工学椅,华南,122,2707.88,330361.36
2026-02-17,P004,智能手表,华北,73,750.62,54795.26
2026-02-18,P003,便携充电宝,华北,160,1705.37,272859.2
2026-02-19,P005,4K 显示器,华东,11,304.88,3353.68
2026-02-20,P006,人体工学椅,华北,68,294.46,20023.28
2026-02-21,P001,无线蓝牙耳机,华南,28,1590.05,44521.4
2026-02-22,P003,便携充电宝,西南,64,1662.78,106417.92
2026-02-23,P006,人体工学椅,华中,157,1469.75,230750.75
2026-02-24,P004,智能手表,西南,58,372.54,21607.32
2026-02-25,P006,人体工学椅,西南,100,1327.38,132738.0
2026-02-26,P004,智能手表,华北,182,1994.02,362911.64
2026-02-27,P006,人体工学椅,华北,25,1266.6,31665.0
2026-02-28,P003,便携充电宝,华北,73,654.61,47786.53
2026-03-01,P005,4K 显示器,西南,45,1322.46,59510.7
